832 862
377 775 -61
642 762 -36
342 676 -312
133 677 795
495 447 504
325 727 -481
252 52 906
347 219 -589
683 790 692
145 640 234
361 201 350
528 728 811
454 779 -493
761 819 -391
607 163 920
173 508 -410
218 240 -914
510 240 -120
572 817 6
315 754 -893
37 670 -104
354 294 177
261 112 530
302 207 181
771 829 -293
428 586 370
338 488 544
642 658 -646
563 751 535
284 709 -448
385 244 812
341 138 293
600 523 -3
692 117 917
765 768 -707
500 174 386
34 119 119
677 36 -268
8 726 656
415 584 705
200 784 -195
430 32 6
39 368 -807
294 484 758
554 428 719
4 469 -355
13 713 569
461 187 -630
136 375 328
670 430 162
449 800 -856
454 268 51
540 228 -41
142 27 -993
44 758 439
352 766 -593
489 463 -60
806 456 -260
684 674 441
692 770 510
127 764 -614
218 523 -901
130 513 -288
507 119 472
4 174 922
653 713 -77
401 258 -507
537 759 775
149 95 752
105 350 537
181 289 777
618 244 -272
82 87 -518
816 158 -468
42 232 -165
604 105 -752
730 628 -938
364 107 -386
178 587 331
419 425 -678
342 8 244
535 530 -201
539 169 -897
344 811 157
473 825 375
235 388 -426
801 557 740
573 639 151
272 538 -431
58 334 466
263 477 -50
817 171 -738
455 752 -159
807 732 -302
606 26 560
749 4 95
635 16 -60
670 583 -395
256 514 -15
399 574 10
807 437 906
244 23 44
229 549 925
751 176 462
477 36 -811
444 780 283
212 805 146
802 237 -638
706 766 874
822 73 670
491 508 -155
566 8 775
444 90 256
271 55 -870
180 83 -44
456 491 419
470 493 -621
416 414 536
242 280 -602
189 495 712
421 785 570
449 811 -199
138 751 -91
95 427 502
136 683 292
414 572 -822
226 442 -673
627 657 -372
370 771 964
64 44 779
585 676 -19
807 449 91
308 738 -854
539 520 -404
536 379 742
810 495 754
665 30 378
792 395 -27
97 555 -647
738 689 -822
156 319 -839
20 158 169
122 383 703
462 24 999
171 159 944
790 380 -519
196 769 366
85 553 -484
539 398 -530
589 97 -926
487 808 -62
88 233 328
797 649 299
364 176 -137
682 477 377
179 604 751
269 524 719
341 164 -407
378 232 -241
424 628 -279
611 386 903
707 716 703
559 470 -221
796 399 -465
44 679 -546
354 699 -186
413 41 -380
542 104 -586
568 756 -164
610 706 813
476 819 291
15 744 -921
750 592 -280
440 345 507
76 505 82
490 309 -17
374 166 15
587 111 135
800 416 802
18 35 -603
367 223 -895
360 117 838
184 494 573
473 366 18
677 50 -960
44 375 -506
21 367 -999
193 588 -775
154 30 -63
811 310 131
552 157 453
230 522 -471
574 351 -338
661 438 14
260 609 280
275 144 38
364 615 562
683 155 -45
192 205 518
239 133 -256
107 261 830
511 676 826
714 26 132
540 704 -439
630 619 -592
134 386 -752
782 34 723
607 590 320
25 553 152
729 649 662
543 392 -790
252 191 -961
243 59 450
256 406 -593
166 194 -354
282 770 -221
555 32 477
592 248 163
67 732 -570
813 333 -375
470 16 54
89 621 -755
200 693 -52
113 306 -328
351 373 426
463 342 612
511 95 -490
218 766 -349
524 267 388
639 394 -663
636 821 -137
14 559 181
680 270 -164
48 692 -92
626 413 -220
487 278 122
362 229 -679
721 404 -994
179 74 -459
722 93 -204
338 591 -88
472 168 -93
609 581 -618
81 778 62
807 662 246
716 477 42
775 391 -284
125 763 515
57 771 -342
118 284 566
541 14 -326
552 70 -8
328 19 672
69 90 812
33 771 -638
429 757 -454
797 297 623
411 200 454
165 244 -193
445 728 -830
98 523 -762
257 789 -454
783 105 -258
241 564 610
259 139 216
226 692 369
521 296 -575
285 458 617
335 151 571
314 505 -34
596 203 -259
172 414 107
421 817 -566
519 2 -54
645 191 517
734 383 981
787 657 895
325 177 -734
388 760 213
125 187 -16
642 142 786
182 733 338
306 387 846
520 775 406
671 552 -874
664 632 -744
362 159 -616
743 289 -368
788 823 -784
551 232 13
661 124 -675
693 72 -478
389 305 607
134 219 -120
21 585 -462
547 298 147
355 307 161
200 352 10
672 9 -385
506 79 848
580 506 -915
262 702 826
67 547 -277
439 422 545
545 635 -607
100 404 186
363 474 98
262 650 -763
466 42 -210
420 389 -828
588 650 709
672 138 575
796 541 -932
810 212 384
695 81 -77
557 69 -158
68 793 680
686 79 247
593 551 539
254 599 -917
602 640 896
74 624 -903
381 267 578
583 250 -224
717 643 -285
61 158 301
362 765 538
516 124 -992
165 264 778
61 788 374
594 699 -217
191 3 637
830 47 814
732 716 26
114 307 -365
1 263 -566
805 268 636
623 388 -364
643 678 413
225 611 55
134 319 520
449 149 -148
731 658 -430
353 266 -307
44 559 672
487 719 977
639 105 844
198 612 -520
520 339 446
146 269 -511
558 160 288
294 784 -663
110 506 316
801 802 -246
761 74 472
604 329 483
796 715 138
301 86 -78
558 822 2
521 35 -156
109 378 -293
197 551 -702
824 289 -197
826 515 303
809 230 483
69 712 -47
789 79 -511
105 175 -145
308 18 536
757 402 -700
577 502 859
647 153 477
238 250 150
40 176 -10
311 238 597
543 660 -567
614 264 983
99 699 -899
686 94 550
718 720 -333
342 131 536
563 436 426
801 367 694
790 272 597
780 756 -220
679 473 498
607 445 497
319 305 280
506 169 743
223 75 -351
815 795 -479
519 247 1000
650 321 174
266 551 -298
495 797 938
370 665 365
319 822 -863
203 635 -169
156 453 -521
398 610 -430
218 336 -126
356 299 461
191 716 946
573 708 -9
614 706 975
204 199 -531
486 457 -409
720 566 -127
113 354 -926
468 591 2
91 1 -468
581 394 -886
555 124 278
769 664 -654
335 474 464
444 536 -874
190 403 553
606 228 -961
613 77 -703
139 157 -201
521 46 69
399 375 111
807 354 -533
219 715 589
372 551 947
171 574 238
609 608 465
385 578 382
733 670 715
749 769 -137
792 410 767
589 698 921
660 114 -558
481 824 -687
277 341 775
680 695 579
145 508 -881
159 236 24
613 120 -320
468 677 732
109 356 134
2 296 -429
525 179 479
329 321 378
417 148 495
128 550 -223
625 372 -979
778 443 470
199 703 432
640 671 430
533 547 -363
1 230 -987
546 800 45
386 184 354
741 683 277
490 636 -730
238 252 288
139 762 -900
730 434 298
422 87 -996
785 443 600
551 170 538
700 75 -923
21 672 516
440 467 -796
814 771 749
216 25 362
411 187 -719
26 406 528
508 459 -244
663 272 -348
710 116 574
428 512 -49
618 470 237
400 825 -16
451 199 -78
642 466 -41
326 601 -733
829 570 -734
781 600 573
64 373 622
444 390 981
344 598 -435
211 151 563
525 287 875
568 800 276
442 488 751
766 250 -675
589 134 543
384 358 -808
394 469 801
280 47 -620
412 677 -859
771 261 321
687 507 290
758 347 598
97 681 842
514 581 168
177 521 982
199 599 965
374 523 638
775 235 -867
32 564 -124
535 618 -16
19 665 -13
613 649 326
721 761 -429
559 465 -543
571 112 -232
356 718 69
459 397 -388
789 663 -151
623 454 -769
231 742 334
506 780 630
84 635 -896
509 749 -154
239 394 547
383 126 -22
624 278 -504
336 700 752
660 571 959
27 373 -664
343 261 -838
554 564 -843
265 541 -224
397 625 116
456 626 935
758 406 -963
208 530 824
479 630 -598
186 105 177
223 71 7
576 378 31
56 277 -880
466 458 -280
780 7 -973
553 794 -193
674 34 -59
435 63 -417
334 671 -987
668 352 661
820 601 464
454 585 273
169 65 -320
360 385 496
167 389 -568
309 615 -198
227 385 -776
779 151 -171
237 559 457
707 420 437
351 784 370
481 598 17
394 799 -152
821 496 600
690 246 -501
460 639 -738
399 453 -683
444 736 717
747 295 662
625 498 -822
398 20 716
277 193 -587
331 209 -672
470 686 -366
542 266 -984
232 684 990
606 204 -433
540 333 -471
468 360 -580
521 573 -879
568 413 -507
707 323 -613
657 248 340
150 380 520
80 437 -104
826 223 531
292 484 694
239 691 153
92 113 -822
43 539 965
244 696 654
662 628 -401
233 172 70
633 819 -424
738 86 -549
801 745 418
221 555 -916
282 342 -590
521 642 -156
620 564 -52
752 792 765
259 407 581
770 24 -753
82 638 -663
287 703 -963
527 644 900
774 561 67
699 22 368
443 115 -764
750 389 -307
92 737 14
534 10 -346
501 258 276
250 645 -868
199 677 162
493 477 828
312 693 -969
466 273 -264
741 96 -755
259 576 -510
651 184 -759
12 203 -487
305 122 19
319 231 44
512 443 38
809 146 395
360 543 -628
130 333 -475
578 254 -486
617 420 140
528 443 -12
316 20 769
194 563 -716
160 657 572
702 97 16
627 150 -202
129 820 321
319 389 563
830 693 -208
39 491 429
589 100 668
414 804 -667
451 735 -551
625 643 -580
602 153 -452
104 377 -55
68 491 -657
423 561 419
245 167 -320
743 519 308
160 612 602
516 524 684
659 597 -63
443 274 230
215 196 -223
808 331 -676
56 372 348
148 74 -752
482 627 340
441 60 -722
118 615 -611
156 369 262
497 789 -814
730 484 -756
438 804 265
340 14 364
643 336 105
145 494 -440
518 276 811
298 758 84
132 362 -925
777 18 -820
140 77 -918
6 304 385
381 171 789
231 289 -151
416 660 91
52 345 150
716 307 -792
444 645 592
508 683 233
447 146 -325
566 348 -841
181 730 -731
805 792 955
81 545 85
573 128 287
616 806 957
550 330 -758
238 216 -405
116 55 590
116 487 414
768 635 1
638 439 -270
363 470 -248
109 399 -37
60 816 656
217 13 708
633 54 -265
760 98 -773
67 806 702
174 322 -704
799 50 -885
176 465 -408
786 530 -172
14 806 -914
409 604 845
493 374 302
558 777 -343
551 429 -55
226 245 423
224 75 -686
534 724 -440
158 256 203
123 586 806
817 444 436
491 320 570
307 547 -938
723 757 822
436 336 -113
440 741 668
62 219 551
167 232 937
593 741 -663
789 496 603
332 45 265
315 745 664
824 115 39
8 613 184
711 557 684
263 437 414
417 613 429
92 389 -26
4 426 -392
452 713 -320
632 377 121
344 138 -983
591 526 459
795 643 390
605 166 -754
719 101 171
171 619 -870
169 444 286
344 368 218
631 685 179
546 139 935
673 58 -854
270 129 51
481 249 -82
752 23 -981
453 37 454
315 792 -331
97 410 963
426 436 -992
219 786 -766
153 513 -932
160 586 -336
467 463 -145
707 432 121
88 693 -988
242 271 -581
268 192 -711
6 424 -206
657 346 -482
573 764 -422
465 702 -175
827 140 503
609 725 924
490 22 624
24 130 71
93 341 612
233 679 664
404 748 -475
636 231 -479
265 216 2
473 88 319
737 56 -480
586 319 -95
182 338 599
820 392 165
432 297 -660
698 339 -249
336 534 647
418 25 622
464 133 335
565 695 905
298 561 -622
250 693 587
139 239 -795
489 728 782
15 565 -114
109 659 980
240 24 -462
16 392 898
338 98 -896
108 694 -192
534 346 608
224 814 -757
269 227 -738
7 45 860
619 616 -774
603 701 572
450 496 -389
509 745 -601
456 353 -32
144 452 -639
810 629 172
444 488 -907
451 502 916
802 656 -402
193 136 372
340 467 852
303 448 154
265 473 572
424 820 -558
375 586 313
199 514 627
506 95 -342
103 125 -289
29 825 521
423 387 412
555 195 769
233 618 312
317 40 -513
693 488 286
674 15 830
731 800 254
331 580 561
52 351 831
70 583 38
88 734 819
99 356 -824
373 161 825
752 512 -390
222 645 -9
355 749 444
610 451 291
535 584 -350
694 282 -627
319 116 -679
520 84 189
387 477 -401
92 143 -45
474 832 749
278 360 -873
292 723 514
543 242 -237
601 171 -43
790 352 -983
599 594 279
58 751 329
730 73 -560
330 108 378
184 747 -350
