16
875 1712
349 608 508
657 37 682
753 529 743
404 158 709
400 354 723
41 568 297
65 128 507
769 272 936
341 285 944
533 538 672
528 281 572
633 844 989
23 539 894
6 610 885
482 382 101
701 652 37
262 339 770
92 675 175
817 312 883
739 798 455
166 719 456
610 94 499
442 56 726
546 652 9
835 615 42
309 811 153
361 686 83
827 309 669
586 522 363
365 244 13
794 68 802
668 469 809
118 245 965
451 870 453
619 821 737
764 146 572
233 15 611
769 136 892
112 320 563
527 158 595
54 282 111
833 785 278
597 511 849
307 381 930
803 503 514
795 818 47
165 363 438
750 134 867
47 165 136
279 508 113
350 330 681
169 427 971
320 804 65
605 150 247
362 434 968
158 793 499
860 224 60
748 819 952
627 664 176
9 57 64
106 422 778
113 873 389
125 564 888
400 669 320
273 850 420
798 321 64
326 709 123
663 558 771
54 580 651
370 423 993
257 155 967
801 614 574
266 543 648
787 458 957
285 674 976
875 580 829
94 45 184
650 390 831
91 874 910
156 594 302
845 368 435
839 213 86
789 635 979
121 766 24
482 30 47
205 354 629
864 572 117
135 702 832
115 843 855
308 647 119
301 611 265
683 681 6
89 159 734
796 478 827
633 839 379
829 406 926
479 789 980
85 310 169
16 650 879
392 441 797
866 227 79
656 310 164
870 380 562
818 873 345
157 178 855
604 715 982
219 188 266
260 478 406
840 134 399
327 315 460
658 773 481
335 117 723
831 162 930
574 656 465
301 306 921
594 638 339
588 298 899
381 137 12
202 618 597
535 89 565
44 340 58
281 384 123
521 261 22
864 727 158
801 382 254
357 541 399
331 173 582
739 732 704
45 747 556
50 421 321
382 808 334
761 120 895
284 160 854
38 39 87
385 751 449
56 474 99
105 765 829
815 273 927
562 30 206
493 22 224
132 619 517
848 491 125
233 796 947
99 96 599
522 667 18
277 30 112
103 484 60
385 65 306
427 209 565
784 208 366
252 237 165
182 490 483
781 588 289
10 525 156
639 365 611
744 850 969
832 766 650
697 687 342
759 753 175
497 184 489
582 386 149
447 68 727
322 679 644
269 74 919
331 74 163
446 349 835
655 296 951
139 486 780
464 110 469
486 608 732
271 206 357
195 507 239
5 203 38
135 355 649
113 631 337
523 501 437
67 127 728
609 497 486
513 203 346
219 296 202
633 769 78
789 513 450
539 189 109
864 110 801
569 496 393
538 499 102
525 771 530
49 192 681
868 776 893
402 647 609
686 654 774
360 558 294
532 288 414
853 522 782
832 81 415
698 640 361
865 771 918
391 497 436
692 112 638
11 484 377
9 629 566
165 179 608
788 66 739
394 111 88
577 117 203
269 318 461
116 573 253
535 255 283
837 703 806
645 528 521
274 515 26
302 439 41
865 651 267
489 165 827
640 547 399
657 90 425
593 40 56
844 162 831
165 172 810
292 127 749
764 343 118
420 117 808
261 395 923
28 272 108
870 50 319
177 634 6
102 748 87
705 434 680
829 695 514
582 420 254
84 591 759
201 54 525
645 493 759
65 216 911
308 215 80
774 713 34
587 331 959
846 839 320
128 839 757
58 848 295
16 260 658
774 41 78
590 757 770
211 418 943
509 280 438
566 426 199
242 838 458
434 397 377
382 529 864
676 504 987
289 572 648
602 487 511
221 46 420
13 854 895
528 235 823
326 35 843
570 545 704
367 344 927
318 854 985
829 771 445
617 56 388
388 168 456
294 63 5
694 307 512
531 98 877
371 60 62
318 584 611
725 590 125
837 824 666
276 510 937
490 113 609
153 799 727
50 221 413
595 744 421
873 36 526
475 153 251
313 676 599
530 501 46
759 767 739
652 866 440
440 19 651
297 162 899
619 664 940
641 132 877
545 141 333
364 800 373
138 105 944
808 28 248
803 258 842
40 365 531
528 494 50
790 702 240
573 457 884
838 418 447
366 841 706
116 674 804
831 245 856
282 322 477
446 495 617
450 163 961
870 584 770
206 492 674
238 732 905
426 163 211
690 613 214
760 235 240
76 77 513
120 22 202
462 499 116
625 58 187
56 776 245
568 42 555
680 368 898
620 390 446
527 813 550
755 478 260
682 365 171
790 172 840
168 337 292
451 198 799
63 330 400
741 737 38
697 293 46
285 67 603
506 852 772
72 289 298
396 438 984
696 121 49
275 109 887
21 101 85
218 258 988
31 134 649
585 658 882
350 343 708
209 103 695
666 784 255
118 186 274
548 597 61
401 868 857
394 238 681
733 333 731
241 29 577
227 187 62
398 768 223
456 189 313
507 840 553
548 446 519
152 767 365
84 762 864
96 340 290
655 496 531
237 772 143
747 299 348
480 677 172
345 133 278
414 325 503
181 526 547
583 184 750
317 197 55
243 390 727
330 732 274
184 247 376
674 487 980
609 617 729
692 185 915
499 669 741
398 824 390
698 302 803
209 658 424
687 332 816
531 529 457
802 486 538
623 702 49
554 855 167
269 690 854
645 110 675
281 686 410
9 481 732
795 839 73
455 225 684
710 441 903
111 700 836
156 300 400
42 435 879
613 114 355
870 291 333
599 603 765
47 861 129
858 7 691
195 265 807
96 84 421
388 516 908
277 504 463
347 619 869
761 712 305
599 285 454
65 385 105
610 24 852
188 366 740
44 310 971
395 399 485
82 78 122
32 432 571
623 867 808
354 335 649
428 831 322
873 834 109
266 302 428
736 434 939
674 596 174
686 740 761
88 349 115
207 106 45
775 815 725
18 493 716
632 233 722
603 681 775
384 357 241
634 304 311
623 755 261
769 326 82
472 463 525
730 223 605
