970 2737
588 563 249
400 274 602
702 421 304
306 927 285
827 788 233
254 833 3
373 208 958
563 365 366
62 268 289
261 712 840
383 574 545
114 854 37
256 274 672
726 909 316
830 89 891
67 146 267
596 271 989
900 572 233
852 147 887
932 2 941
945 127 254
213 500 134
491 785 108
300 643 220
73 83 78
17 899 762
168 571 785
103 445 118
595 671 97
77 310 379
730 51 68
380 896 480
243 55 822
887 524 26
850 885 98
152 768 392
310 288 412
488 237 245
112 213 300
799 471 527
717 747 895
647 109 988
612 248 937
559 271 156
16 222 678
946 873 265
336 173 816
631 498 588
51 565 4
841 126 639
56 543 314
762 32 657
839 551 734
158 794 60
583 370 383
463 737 956
20 873 222
250 865 70
525 157 623
597 184 632
111 342 906
634 824 260
367 348 991
203 482 837
797 584 587
443 450 785
967 752 98
591 469 86
286 679 213
253 836 370
605 263 459
238 669 751
451 713 89
231 586 595
468 248 381
339 124 58
54 553 41
799 253 446
426 287 312
424 864 808
195 341 765
137 149 336
963 646 18
158 220 207
832 759 322
388 203 838
424 84 321
715 514 682
776 410 362
395 579 771
767 319 632
53 127 879
34 367 219
605 59 730
584 784 922
382 284 158
391 87 104
836 148 615
792 433 790
589 267 854
68 386 695
824 188 130
307 851 882
726 849 896
119 771 796
75 269 279
22 318 8
634 504 655
355 173 466
287 792 155
700 845 165
530 656 17
866 537 69
605 493 235
359 75 894
666 133 424
757 841 659
63 682 45
482 684 176
470 462 956
488 682 203
111 175 716
336 535 566
73 733 856
665 274 638
813 903 31
355 391 906
718 504 468
191 101 747
523 916 891
684 747 691
565 549 71
936 491 42
193 390 587
21 513 432
266 314 340
222 802 441
522 357 347
674 107 545
943 567 301
154 569 785
410 122 198
833 799 532
900 301 620
220 163 610
256 769 889
3 934 65
341 755 625
662 103 130
69 85 64
919 305 143
625 150 910
945 887 178
636 22 414
150 50 339
55 541 318
392 847 26
42 797 792
660 390 328
358 59 710
859 260 355
554 409 168
804 12 791
360 777 958
622 522 908
889 242 645
532 771 825
126 433 981
922 147 145
188 546 222
675 366 500
288 586 855
