17
979 800
171 851 -325
881 376 -486
733 600 133
359 235 127
291 281 -628
541 60 -427
129 957 -657
654 77 486
823 36 -969
164 603 -974
399 469 -954
182 624 -583
355 373 -652
69 941 -425
120 566 -179
597 589 -925
771 159 -581
608 19 565
712 22 917
780 232 -232
875 80 746
730 922 380
76 564 722
304 282 610
119 593 22
207 214 -822
488 68 -163
652 612 -943
254 978 -225
724 706 -943
733 857 687
166 490 8
91 147 -139
142 863 -545
421 603 113
688 879 -695
748 499 614
113 363 29
528 279 295
887 979 -840
776 745 612
285 91 786
623 351 321
466 354 -108
636 578 -415
317 550 -215
106 620 658
171 920 676
708 794 383
40 667 600
156 139 -870
958 18 566
865 76 94
680 616 -950
133 921 -624
353 861 663
120 914 919
306 347 359
823 513 -963
594 404 484
839 911 -630
731 122 -176
748 806 646
487 685 481
712 180 976
314 472 -905
129 13 -623
796 931 -180
309 863 822
890 253 -437
219 534 -88
141 800 -730
366 972 415
889 538 -604
928 660 -157
542 199 818
385 140 -425
536 601 -335
949 775 -322
944 458 -34
571 492 514
532 563 135
616 752 468
225 571 447
811 475 102
490 297 -960
571 418 -218
899 952 -375
723 36 341
811 702 -515
136 594 503
199 864 -424
52 913 710
947 966 -364
872 603 -682
502 105 -783
708 908 271
194 602 48
157 494 -780
757 729 448
778 435 867
753 566 530
23 131 600
232 563 -786
147 573 -21
378 584 -774
163 863 60
111 144 860
73 219 472
404 895 -873
496 628 66
134 924 -846
428 370 172
613 821 -210
480 334 707
380 876 -286
486 383 -912
919 185 -541
424 457 -481
203 107 -675
916 906 901
846 353 816
914 651 925
607 193 -444
89 306 876
311 258 551
728 887 281
935 130 408
123 32 835
457 691 -786
54 44 -486
183 254 932
671 907 -720
193 84 236
716 840 -636
662 568 -449
537 560 695
528 941 -354
123 640 521
468 424 -988
777 820 -965
484 749 -75
693 198 354
328 916 659
206 43 -618
390 42 -532
415 291 -380
443 425 452
344 650 780
404 175 214
308 370 314
147 520 -491
13 446 2
846 875 -111
58 762 971
783 550 -644
905 557 254
724 771 412
173 6 -653
120 231 514
560 209 -685
910 326 -208
525 497 516
633 490 710
154 801 -989
780 705 832
756 260 -514
435 512 -872
291 956 625
694 405 -278
100 145 -497
358 229 -498
249 502 147
905 71 432
99 607 -549
672 39 629
746 612 -68
738 215 42
6 902 -398
898 171 781
266 113 745
602 769 338
303 816 -417
886 494 -895
262 757 343
80 682 545
35 562 -228
823 562 -643
605 40 683
742 971 436
42 170 286
499 361 -261
92 803 -419
102 483 -448
174 190 454
855 787 -243
695 759 -980
603 950 -196
962 140 -226
508 789 -178
34 791 106
425 417 -815
302 474 395
166 303 605
61 209 -937
283 281 -823
583 901 298
817 413 -57
469 516 792
873 270 -265
896 276 566
229 348 366
217 770 59
335 493 359
178 150 251
517 239 -49
255 855 910
909 514 577
1 621 -100
197 512 -186
571 846 -40
181 532 935
839 236 787
56 253 646
740 969 -780
358 697 58
612 538 790
389 567 -888
484 937 -142
507 724 957
485 598 399
245 207 61
164 584 -661
163 654 -910
23 391 543
936 301 -263
545 445 -414
845 803 72
807 247 840
27 834 -622
820 299 424
553 526 865
899 606 -411
144 317 -908
220 702 54
199 475 -375
844 389 729
806 370 -82
695 837 828
537 552 806
576 815 -800
660 898 957
880 769 -6
94 179 -871
449 786 276
171 385 -826
56 287 140
658 784 463
854 36 849
111 691 -250
25 893 503
506 49 951
567 23 52
694 334 -739
808 924 579
49 98 -759
480 946 -847
954 872 -558
66 449 -477
149 398 908
648 96 948
371 166 -951
361 391 278
894 825 104
599 632 -609
59 551 705
775 293 -317
618 838 -747
572 229 198
222 883 -524
558 514 937
755 448 105
450 677 -939
43 917 -219
304 159 -683
254 835 986
321 566 -205
232 556 -656
348 557 -647
89 400 4
110 452 -325
648 860 465
554 361 -218
289 185 -107
747 351 247
460 954 428
580 52 816
112 495 321
263 335 560
951 574 394
41 762 14
466 917 -297
44 836 -57
944 315 693
116 875 -208
960 742 -959
789 372 936
635 32 569
911 691 -386
393 33 -836
405 432 -476
74 10 414
107 963 24
578 979 -700
629 806 -858
842 592 -783
13 508 -343
233 766 -789
382 458 745
337 272 703
117 74 -224
893 101 360
875 545 -518
947 59 -963
796 98 -863
762 700 -982
424 362 -641
790 890 -436
838 768 -156
849 812 -158
15 917 -915
502 955 704
560 505 396
158 178 444
777 435 869
341 952 129
579 126 248
715 502 -61
421 480 -494
975 87 564
783 195 791
845 938 -12
451 188 891
524 805 -995
840 282 890
468 674 783
885 888 -591
781 406 -699
785 373 532
165 869 604
532 750 348
766 110 23
827 125 -553
24 62 -689
278 69 -958
842 735 -627
16 948 556
552 476 -700
577 923 -823
721 461 104
703 439 426
99 325 337
582 531 434
496 724 -916
971 525 -499
14 415 735
587 970 648
861 35 -861
532 47 -953
825 846 -221
39 743 -388
410 95 43
740 727 -972
964 890 -702
302 246 746
643 613 -147
851 422 -539
487 681 169
556 875 -64
285 793 -1000
825 349 -472
431 387 -553
827 233 307
176 748 -565
79 9 -932
865 381 -600
716 188 -666
446 873 362
813 913 -396
493 294 -787
889 345 -683
824 305 -433
426 919 77
122 824 769
211 719 763
530 795 11
104 950 430
941 85 138
506 661 872
757 971 570
719 682 -125
801 88 160
184 551 -177
868 607 810
491 296 -249
733 214 310
636 551 111
685 595 -150
322 103 272
211 208 287
469 238 -248
