9143 28391
2618 5947 -490
3081 7762 -872
8646 4592 -666
5599 8019 -473
1690 146 -445
7429 1751 -310
7049 4234 -517
1586 8767 -59
3216 5521 -460
6468 4353 -651
6269 151 976
3940 6922 382
8309 6177 865
3350 226 72
6769 2306 -277
7588 3436 -625
4728 3618 892
5039 2943 -852
7150 8586 -266
7485 4377 701
7395 4098 347
2788 6980 385
2862 898 314
6217 4244 666
4181 9128 -84
890 2740 -369
5797 7592 378
8529 9021 -216
3518 5871 696
2828 6196 -652
4430 3845 41
4124 7903 -762
3607 4041 449
1105 7372 -440
4187 1865 869
8000 4563 619
280 5362 903
1432 8333 961
7385 7047 -602
1906 3045 -720
8358 339 -311
5818 2775 333
6032 4043 -922
2080 2610 -285
4280 7887 -640
4512 4937 609
5566 7670 -31
8340 9089 -527
5102 3927 -754
4945 2433 -977
8279 573 -982
5525 4506 640
6870 4467 235
29 7651 -963
570 3660 600
339 7478 606
3127 4578 601
5452 109 574
1949 1239 125
7510 109 288
7074 2024 -776
7036 7207 802
2968 7345 -140
38 1631 -21
1834 615 -906
2310 8643 435
1019 3574 445
6003 1495 -17
8030 6024 20
6379 1280 -189
4582 1445 -782
5793 2289 471
8889 6066 -907
7656 93 848
973 518 -789
6855 2414 714
1700 4793 -785
3583 7334 -185
7741 5825 -708
4030 8500 30
4281 2338 88
5411 3709 960
3168 5312 178
8328 5273 -700
5983 5151 760
2690 403 419
2091 7342 -421
6320 5628 135
5269 7215 635
6977 8206 -699
992 7946 -694
3973 2353 80
5203 8126 -604
7648 791 -554
927 7176 74
2014 5258 -141
1776 1510 -378
4213 2703 -434
4490 9073 53
8296 5072 629
97 5871 -290
7631 2856 338
8273 4647 -476
3279 551 375
8845 812 42
7834 2664 232
1684 5540 -995
2969 8509 429
6632 7164 136
4422 6433 -329
7127 6529 399
3147 734 148
7006 3941 351
7013 4750 246
3177 7410 275
3596 1892 -677
7739 9125 435
8560 7597 585
300 3815 -399
5139 4776 -647
6528 88 313
6855 1707 -111
4842 5114 517
5684 851 851
2495 8071 -222
2821 168 -512
8981 104 251
8486 2657 -949
1559 2924 968
8523 3215 -712
3509 3461 -902
4988 3065 -378
4192 2653 -515
5808 4390 978
6232 3280 -182
8099 6296 -761
5513 3302 896
1919 30 372
3407 3508 -269
8208 3806 115
2717 1425 -58
7567 6150 775
8851 236 -976
486 4891 -877
3822 8030 -829
3539 5365 -396
905 5468 767
1386 5584 1
8756 237 -973
3347 8138 363
3372 5692 -232
721 1061 478
429 3241 565
211 65 250
5223 3196 308
2016 7740 362
1975 3439 575
2012 4270 428
8618 4545 205
6098 363 -331
2344 8817 -1000
4419 228 -864
6178 6363 -321
8711 8165 -466
1232 65 -286
4979 2120 -379
3117 6514 -632
3966 6447 -413
1751 2506 -240
4320 7581 -166
5240 3755 -565
4511 5387 41
8504 1984 -771
2258 7110 -242
3665 170 768
3576 6734 -498
532 9142 960
1246 93 -822
4862 201 -376
910 2545 -987
1705 6521 -203
2897 5131 987
2288 3934 597
5054 3673 -889
3785 7707 901
8632 7652 -828
2175 1610 -608
7361 7830 -118
7277 3532 736
1312 7603 -346
3098 6544 -186
4367 1235 876
341 6711 511
8216 6494 -61
2165 8405 185
3585 6457 67
4536 1826 -909
874 558 -53
5678 757 -617
2585 5205 352
5821 5458 831
8377 1608 -960
3966 3968 201
4255 4440 -575
8178 4653 -638
3076 3897 -384
988 1509 953
1255 6058 -992
5415 2467 -201
279 239 956
6835 2222 -441
8942 2545 972
923 952 -639
2155 4920 360
2924 5675 -14
4315 2539 -892
637 170 685
5594 93 304
8908 2980 -272
520 5000 -983
8188 3882 905
3084 4062 -503
1128 4085 786
4052 4733 -516
8567 6513 -576
830 5402 981
180 2411 686
6532 6403 -694
7168 7993 547
6280 32 -384
8364 5301 501
7124 8854 1000
3785 718 -23
8654 1596 358
2652 6732 -202
6047 7530 -727
3585 2872 270
8045 8388 652
4739 1344 237
4786 1550 443
265 4936 -669
6009 8599 -764
7594 5258 910
7691 605 706
6917 1773 -204
838 6061 -302
8056 7191 -723
6035 1947 503
2853 8635 -188
4843 2004 362
7059 8473 -246
3045 8499 -777
4477 194 -454
9142 3087 447
4818 2673 -612
5309 1404 763
6857 8368 -606
7269 4922 -894
4808 2888 811
4371 616 -654
1269 1711 -455
5380 2945 -543
2410 1727 869
7603 3022 326
1265 7883 427
1558 1017 722
5287 7372 -863
9140 3374 -486
3218 4309 -596
3835 4286 -637
3266 4404 149
3912 7868 358
1532 215 -1
2087 1012 -134
2536 566 165
2471 1895 709
6487 5148 -998
6315 4108 -805
3619 1531 -263
1567 1095 502
842 1426 834
1835 7332 435
206 4408 -963
6994 8961 222
778 7243 -231
1798 7117 615
4097 6019 -271
3485 4913 317
4890 9013 357
